step,lr-SGD,epoch,train_loss,test_acc,test_loss
49,0.005,,,,
49,,0,1.4537454843521118,,
99,0.005,,,,
99,,0,1.1549216508865356,,
149,0.005,,,,
149,,0,1.4399014711380005,,
199,0.005,,,,
199,,0,1.0793778896331787,,
249,0.005,,,,
249,,0,0.8030029535293579,,
299,0.005,,,,
299,,0,0.6752841472625732,,
349,0.005,,,,
349,,0,1.3560196161270142,,
399,0.005,,,,
399,,0,0.8017818927764893,,
449,0.005,,,,
449,,0,1.153884768486023,,
499,0.005,,,,
499,,0,0.7221330404281616,,
549,0.005,,,,
549,,0,0.5481827855110168,,
599,0.005,,,,
599,,0,0.3526824116706848,,
649,0.005,,,,
649,,0,0.7945596575737,,
699,0.005,,,,
699,,0,0.7274110317230225,,
749,0.005,,,,
749,,0,0.8677103519439697,,
799,0.005,,,,
799,,0,1.1311148405075073,,
849,0.005,,,,
849,,0,1.0324211120605469,,
899,0.005,,,,
899,,0,1.1116070747375488,,
949,0.005,,,,
949,,0,0.838648796081543,,
999,0.005,,,,
999,,0,0.7392929196357727,,
1049,0.005,,,,
1049,,0,1.0085874795913696,,
1099,0.005,,,,
1099,,0,1.2666021585464478,,
1149,0.005,,,,
1149,,0,1.5368297100067139,,
1199,0.005,,,,
1199,,0,0.36708518862724304,,
1249,0.005,,,,
1249,,0,1.235608696937561,,
1299,0.005,,,,
1299,,0,1.108233094215393,,
1349,0.005,,,,
1349,,0,1.0605241060256958,,
1399,0.005,,,,
1399,,0,0.97467041015625,,
1449,0.005,,,,
1449,,0,0.8681923747062683,,
1499,0.005,,,,
1499,,0,0.48030370473861694,,
1549,0.005,,,,
1549,,0,0.997617244720459,,
1599,0.005,,,,
1599,,0,1.1493651866912842,,
1649,0.005,,,,
1649,,0,0.7674572467803955,,
1699,0.005,,,,
1699,,0,0.7529593706130981,,
1749,0.005,,,,
1749,,0,0.9764442443847656,,
1799,0.005,,,,
1799,,0,0.8963033556938171,,
1849,0.005,,,,
1849,,0,1.2139555215835571,,
1899,0.005,,,,
1899,,0,0.6051145792007446,,
1949,0.005,,,,
1949,,0,1.0453670024871826,,
1999,0.005,,,,
1999,,0,0.3572056293487549,,
2049,0.005,,,,
2049,,0,0.9702112674713135,,
2099,0.005,,,,
2099,,0,1.7075300216674805,,
2149,0.005,,,,
2149,,0,0.8114160299301147,,
2199,0.005,,,,
2199,,0,1.0863147974014282,,
2249,0.005,,,,
2249,,0,1.0120869874954224,,
2299,0.005,,,,
2299,,0,0.7911044359207153,,
2349,0.005,,,,
2349,,0,1.5454343557357788,,
2399,0.005,,,,
2399,,0,0.7696210741996765,,
2449,0.005,,,,
2449,,0,0.8727765083312988,,
2499,0.005,,,,
2499,,0,1.363958716392517,,
2549,0.005,,,,
2549,,0,0.990302562713623,,
2599,0.005,,,,
2599,,0,0.6803408861160278,,
2649,0.005,,,,
2649,,0,0.7340249419212341,,
2699,0.005,,,,
2699,,0,1.60939359664917,,
2749,0.005,,,,
2749,,0,0.7699142098426819,,
2799,0.005,,,,
2799,,0,0.9743232727050781,,
2849,0.005,,,,
2849,,0,1.0924636125564575,,
2899,0.005,,,,
2899,,0,0.611943244934082,,
2949,0.005,,,,
2949,,0,1.0171695947647095,,
2999,0.005,,,,
2999,,0,1.2567609548568726,,
3049,0.005,,,,
3049,,0,1.2685188055038452,,
3099,0.005,,,,
3099,,0,0.7736070156097412,,
3149,0.005,,,,
3149,,0,0.9710901975631714,,
3199,0.005,,,,
3199,,0,0.8196858763694763,,
3249,0.005,,,,
3249,,0,1.0011534690856934,,
3299,0.005,,,,
3299,,0,0.8935741186141968,,
3349,0.005,,,,
3349,,0,1.0129518508911133,,
3399,0.005,,,,
3399,,0,0.5806164741516113,,
3449,0.005,,,,
3449,,0,0.7914971113204956,,
3499,0.005,,,,
3499,,0,0.9858750700950623,,
3549,0.005,,,,
3549,,0,0.6940121650695801,,
3599,0.005,,,,
3599,,0,0.795099139213562,,
3649,0.005,,,,
3649,,0,0.5441839694976807,,
3699,0.005,,,,
3699,,0,1.2247167825698853,,
3749,0.005,,,,
3749,,0,0.8049660325050354,,
3799,0.005,,,,
3799,,1,0.7013936638832092,,
3849,0.005,,,,
3849,,1,0.9723065495491028,,
3899,0.005,,,,
3899,,1,1.2633553743362427,,
3949,0.005,,,,
3949,,1,0.6000186800956726,,
3999,0.005,,,,
