lr-SGD,step,epoch,train_loss
,3749,0,0.8553465604782104
0.005,3799,,
,3799,1,0.6401674747467041
0.005,3849,,
,3849,1,1.0721845626831055
0.005,3899,,
,3899,1,0.7302915453910828
0.005,3949,,
,3949,1,0.5654436945915222
0.005,3999,,
,3999,1,0.6638168692588806
0.005,4049,,
,4049,1,0.7199492454528809
0.005,4099,,
,4099,1,0.6430120468139648
0.005,4149,,
,4149,1,0.3651629686355591
0.005,4199,,
,4199,1,0.8275959491729736
0.005,4249,,
,4249,1,0.5672783255577087
0.005,4299,,
,4299,1,0.859667181968689
0.005,4349,,
,4349,1,0.5542808771133423
0.005,4399,,
,4399,1,0.5741297006607056
0.005,4449,,
,4449,1,0.7056502103805542
0.005,4499,,
,4499,1,1.119070053100586
0.005,4549,,
,4549,1,1.172231674194336
0.005,4599,,
,4599,1,0.9673750996589661
0.005,4649,,
,4649,1,0.6486542224884033
0.005,4699,,
,4699,1,0.8588315844535828
0.005,4749,,
,4749,1,0.2583453059196472
0.005,4799,,
,4799,1,1.1384168863296509
0.005,4849,,
,4849,1,1.192086100578308
0.005,4899,,
,4899,1,1.3828481435775757
0.005,4949,,
,4949,1,0.6191241145133972
0.005,4999,,
,4999,1,0.605959951877594
0.005,5049,,
,5049,1,0.44078168272972107
0.005,5099,,
,5099,1,0.40761271119117737
0.005,5149,,
,5149,1,0.30280640721321106
0.005,5199,,
,5199,1,0.6848893165588379
0.005,5249,,
,5249,1,1.069657802581787
0.005,5299,,
,5299,1,0.486716628074646
0.005,5349,,
,5349,1,0.6183538436889648
0.005,5399,,
,5399,1,0.5568956136703491
0.005,5449,,
,5449,1,1.1130460500717163
0.005,5499,,
,5499,1,1.0032413005828857
0.005,5549,,
,5549,1,1.270220398902893
0.005,5599,,
,5599,1,1.4498707056045532
0.005,5649,,
,5649,1,0.576815664768219
0.005,5699,,
,5699,1,0.5835295915603638
0.005,5749,,
,5749,1,0.7145828604698181
0.005,5799,,
,5799,1,0.8093342781066895
0.005,5849,,
,5849,1,1.032999038696289
0.005,5899,,
,5899,1,0.7205850481987
0.005,5949,,
,5949,1,0.8776061534881592
0.005,5999,,
,5999,1,0.9468826055526733
0.005,6049,,
,6049,1,0.8134081363677979
0.005,6099,,
,6099,1,0.6299237608909607
0.005,6149,,
,6149,1,0.726668655872345
0.005,6199,,
,6199,1,0.6825993061065674
0.005,6249,,
,6249,1,1.17946457862854
0.005,6299,,
,6299,1,0.6686006188392639
0.005,6349,,
,6349,1,0.6574863195419312
0.005,6399,,
,6399,1,1.0289250612258911
0.005,6449,,
,6449,1,1.0457758903503418
0.005,6499,,
,6499,1,1.3978047370910645
0.005,6549,,
,6549,1,1.1728588342666626
0.005,6599,,
,6599,1,1.1905913352966309
0.005,6649,,
,6649,1,0.6953250765800476
0.005,6699,,
,6699,1,1.0080910921096802
0.005,6749,,
,6749,1,1.2259529829025269
0.005,6799,,
,6799,1,0.7727556824684143
0.005,6849,,
,6849,1,0.4367881417274475
0.005,6899,,
,6899,1,0.7836718559265137
0.005,6949,,
,6949,1,0.42674311995506287
0.005,6999,,
,6999,1,0.61378413438797
0.005,7049,,
,7049,1,0.546321451663971
0.005,7099,,
,7099,1,0.518580436706543
0.005,7149,,
,7149,1,0.7640619874000549
0.005,7199,,
,7199,1,0.8869920969009399
0.005,7249,,
,7249,1,0.7204706072807312
0.005,7299,,
,7299,1,0.4292515814304352
0.005,7349,,
,7349,1,0.42957180738449097
0.005,7399,,
,7399,1,0.8411638736724854
0.005,7449,,
,7449,1,1.089042067527771
0.005,7499,,
,7499,1,0.8905412554740906
0.005,7549,,
,7549,2,1.129281759262085
0.005,7599,,
,7599,2,1.0819684267044067
0.005,7649,,
,7649,2,1.1695502996444702
0.005,7699,,
,7699,2,0.666353166103363
0.005,7749,,
,7749,2,0.959891140460968
0.005,7799,,
,7799,2,0.6830227971076965
0.005,7849,,
,7849,2,0.8489871621131897
0.005,7899,,
,7899,2,0.6226063370704651
0.005,7949,,
,7949,2,0.6752451658248901
0.005,7999,,
,7999,2,1.025336742401123
0.005,8049,,
,8049,2,0.5870718955993652
0.005,8099,,
,8099,2,0.661814272403717
0.005,8149,,
,8149,2,0.42175525426864624
0.005,8199,,
,8199,2,0.7459732294082642
0.005,8249,,
,8249,2,1.227639079093933
0.005,8299,,
,8299,2,0.9097135066986084
0.005,8349,,
,8349,2,0.9379627704620361
0.005,8399,,
,8399,2,0.6835766434669495
0.005,8449,,
,8449,2,0.9248777627944946
0.005,8499,,
,8499,2,0.36119508743286133
0.005,8549,,
,8549,2,1.0869606733322144
0.005,8599,,
,8599,2,0.30032700300216675
0.005,8649,,
,8649,2,1.0733097791671753
0.005,8699,,
,8699,2,0.6134173274040222
0.005,8749,,
,8749,2,1.2647308111190796
0.005,8799,,
,8799,2,0.9107680916786194
0.005,8849,,
,8849,2,0.2406132072210312
0.005,8899,,
,8899,2,0.9430652856826782
0.005,8949,,
,8949,2,1.11355459690094
0.005,8999,,
,8999,2,0.6481003165245056
0.005,9049,,
,9049,2,0.3074961304664612
0.005,9099,,
,9099,2,1.0529497861862183
0.005,9149,,
,9149,2,0.5592901706695557
0.005,9199,,
,9199,2,1.2751185894012451
0.005,9249,,
,9249,2,0.821323037147522
0.005,9299,,
,9299,2,0.7791119813919067
0.005,9349,,
,9349,2,1.2568796873092651
0.005,9399,,
,9399,2,0.9288969039916992
0.005,9449,,
,9449,2,0.8356382846832275
0.005,9499,,
,9499,2,0.4062574803829193
0.005,9549,,
,9549,2,0.8203315734863281
0.005,9599,,
,9599,2,1.1474701166152954
0.005,9649,,
,9649,2,0.6929043531417847
0.005,9699,,
,9699,2,0.6035110950469971
0.005,9749,,
,9749,2,0.9263438582420349
0.005,9799,,
,9799,2,1.3962749242782593
0.005,9849,,
,9849,2,0.925868809223175
0.005,9899,,
,9899,2,0.3513506054878235
0.005,9949,,
,9949,2,0.6754249930381775
0.005,9999,,
,9999,2,0.7750500440597534
0.005,10049,,
,10049,2,1.4105162620544434
